Catégorie,Titre du Service,Lien du Service,Image URL
تعلم البرمجة,شرح لغات البرمجة بطريقة مبسطة مع حل تمارين,https://khamsat.com/training/learn-programming/3108971-%D8%B4%D8%B1%D8%AD-%D9%84%D8%BA%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%A8%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D9%85%D8%A8%D8%B3%D8%B7%D8%A9-%D9%85%D8%B9-%D8%AD%D9%84-%D8%AA%D9%85%D8%A7%D8%B1%D9%8A%D9%86,https://khamsat.hsoubcdn.com/images/services/1662100/22d5f30ab351c12d457ce372cbe2d52a.jpg?s=small
تعلم البرمجة,تعليم البرمجة للاطفال Scratch,https://khamsat.com/training/learn-programming/3062826-%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%84%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84-scratch,https://khamsat.hsoubcdn.com/images/services/3999516/273ee04a3c29ed83cfe0284c7683d38f_thumb.jpg
تعلم البرمجة,"حل المسائل البرمجية بلغة C++ , JavaScript , java",https://khamsat.com/training/learn-programming/3021142-%D8%AD%D9%84-%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%AC%D9%8A%D8%A9-%D8%A8%D9%84%D8%BA%D8%A9-c-javascript-java,https://khamsat.hsoubcdn.com/images/services/3509772/c53477f5c877d4fe72e20c964ad72fb4.jpg?s=small
تعلم البرمجة,جلسات فردية لتعليم البرمجة - One to One,https://khamsat.com/training/learn-programming/3149999-%D8%AC%D9%84%D8%B3%D8%A7%D8%AA-%D9%81%D8%B1%D8%AF%D9%8A%D8%A9-%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-one-to-one,https://khamsat.hsoubcdn.com/images/services/848283/172fbfc159e9d51e4aca75a79dd72e88.jpg?s=small
تعلم البرمجة,كورس تعليمي محترف علي FL studio برنامج التوزيع الموسيقي,https://khamsat.com/training/learn-programming/2890937-%D9%83%D9%88%D8%B1%D8%B3-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A-%D9%85%D8%AD%D8%AA%D8%B1%D9%81-%D8%B9%D9%84%D9%8A-fl-studio-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A,https://khamsat.hsoubcdn.com/images/services/3300867/d9487b97940a7b16b57a38b17566268b_thumb.jpg
تعلم البرمجة,حل وشرح تمارين برمجية بلغة الجافا,https://khamsat.com/training/learn-programming/1949999-%D8%AD%D9%84-%D9%88%D8%B4%D8%B1%D8%AD-%D8%AA%D9%85%D8%A7%D8%B1%D9%8A%D9%86-%D8%A8%D8%B1%D9%85%D8%AC%D9%8A%D8%A9-%D8%A8%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%AC%D8%A7%D9%81%D8%A7,https://khamsat.hsoubcdn.com/images/services/2237678/2af46574b5c81d59bcaeaeace0d342b0_thumb.jpg
تعلم البرمجة,حل مسائل برمجية بلغة سي شارب c#,https://khamsat.com/training/learn-programming/2727853-%D8%AD%D9%84-%D9%85%D8%B3%D8%A7%D8%A6%D9%84-%D8%A8%D8%B1%D9%85%D8%AC%D9%8A%D8%A9-%D8%A8%D9%84%D8%BA%D8%A9-%D8%B3%D9%8A-%D8%B4%D8%A7%D8%B1%D8%A8-c,https://khamsat.hsoubcdn.com/images/services/1278653/9ae3677f91c2df831f180e30e8dbcadd_thumb.jpg
تعلم البرمجة,استخدام لغه البايثون في مجال تحليل البيانات,https://khamsat.com/training/learn-programming/2239734-%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%84%D8%BA%D9%87-%D8%A7%D9%84%D8%A8%D8%A7%D9%8A%D8%AB%D9%88%D9%86-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84-%D8%AA%D8%AD%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA,https://khamsat.hsoubcdn.com/images/services/2586441/11e034bf23685484ac64446b02d32e56_thumb.jpg
تعلم البرمجة,سأخصر لك الطريق لتعلم البلوكشين ETH/TRX,https://khamsat.com/training/learn-programming/2361265-%D8%B3%D8%A3%D8%AE%D8%B5%D8%B1-%D9%84%D9%83-%D8%A7%D9%84%D8%B7%D8%B1%D9%8A%D9%82-%D9%84%D8%AA%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%A8%D9%84%D9%88%D9%83%D8%B4%D9%8A%D9%86-ethtrx,https://khamsat.hsoubcdn.com/images/services/402953/b67fc6197c073e13ad2b45e1b12b66b0_thumb.jpg
تعلم البرمجة,معلم برمجه خاص خطوه بخطوه,https://khamsat.com/training/learn-programming/2300122-%D9%85%D8%B9%D9%84%D9%85-%D8%A8%D8%B1%D9%85%D8%AC%D9%87-%D8%AE%D8%A7%D8%B5-%D8%AE%D8%B7%D9%88%D9%87-%D8%A8%D8%AE%D8%B7%D9%88%D9%87,https://khamsat.hsoubcdn.com/images/services/2159267/0b772f825e29cc7aadd4d6d17a638a34.jpg?s=small
تعلم البرمجة,كورس البايثون من الصفر Python Programming Course,https://khamsat.com/training/learn-programming/2560862-%D9%83%D9%88%D8%B1%D8%B3-%D8%A7%D9%84%D8%A8%D8%A7%D9%8A%D8%AB%D9%88%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D8%B5%D9%81%D8%B1-python-programming-course,https://khamsat.hsoubcdn.com/images/services/1881401/46bae6b8c26c9e49df088070e1c04da3.jpg?s=small
تعلم البرمجة,تعليم أوامر الكالي و طريقة تثبيت kall linuxعلى virtual box,https://khamsat.com/training/learn-programming/2873955-%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A3%D9%88%D8%A7%D9%85%D8%B1-%D8%A7%D9%84%D9%83%D8%A7%D9%84%D9%8A-%D9%88-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D8%AA%D8%AB%D8%A8%D9%8A%D8%AA-kall-linux%D8%B9%D9%84%D9%89-virtual-box,https://khamsat.hsoubcdn.com/images/services/2372361/b21facae358a4ed75010911dda1d1891.jpg?s=small
تعلم البرمجة,شرح مشاريع Machine Learning بالعربي مع الاكود لغة بايثون,https://khamsat.com/training/learn-programming/2373289-%D8%B4%D8%B1%D8%AD-%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-machine-learning-%D8%A8%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D9%85%D8%B9-%D8%A7%D9%84%D8%A7%D9%83%D9%88%D8%AF-%D9%84%D8%BA%D8%A9-%D8%A8%D8%A7%D9%8A%D8%AB%D9%88%D9%86,https://khamsat.hsoubcdn.com/images/services/1264212/bb1a3d48a15ae10916d454edf68ac0a2_thumb.jpg
تعلم البرمجة,تعلم برمجة الألعاب باستخدام Unity 2D/3D,https://khamsat.com/training/learn-programming/3597831-%D8%AA%D8%B9%D9%84%D9%85-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%A7%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-unity-2d3d,https://khamsat.hsoubcdn.com/images/services/3950547/39028d23b2a9da0f86b35be5e99c3786.jpg?s=small
تعلم البرمجة,كتابه كود برمجه Python/ Cpp,https://khamsat.com/training/learn-programming/3688543-%D9%83%D8%AA%D8%A7%D8%A8%D9%87-%D9%83%D9%88%D8%AF-%D8%A8%D8%B1%D9%85%D8%AC%D9%87-python-cpp,https://khamsat.hsoubcdn.com/images/services/4633008/30d87034bf093d3def1015d957dcc606.jpg?s=small
تعلم البرمجة,كورس تعليم البرمجه و الذكاء الاصطناعي للاطفال و المبتدئين,https://khamsat.com/training/learn-programming/2315007-%D9%83%D9%88%D8%B1%D8%B3-%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%AC%D9%87-%D9%88-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%84%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84-%D9%88-%D8%A7%D9%84%D9%85%D8%A8%D8%AA%D8%AF%D8%A6%D9%8A%D9%86,https://khamsat.hsoubcdn.com/images/services/1394192/19da15478c6bde22ab323105cbe9ee67_thumb.jpg
تعلم البرمجة,مساعدة في حل واجبات بلغة الجافا و تطبيق مفاهيم الoop,https://khamsat.com/training/learn-programming/2824480-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A9-%D9%81%D9%8A-%D8%AD%D9%84-%D9%88%D8%A7%D8%AC%D8%A8%D8%A7%D8%AA-%D8%A8%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%AC%D8%A7%D9%81%D8%A7-%D9%88-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D9%81%D8%A7%D9%87%D9%8A%D9%85-%D8%A7%D9%84oop,https://khamsat.hsoubcdn.com/images/services/3615190/c0f5c2a69647cc2fce13d184858743f0_thumb.jpg
تعلم البرمجة,تعلم انشاء API بواسطة Django REST framework مع الاختبار,https://khamsat.com/training/learn-programming/2625407-%D8%AA%D8%B9%D9%84%D9%85-%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-api-%D8%A8%D9%88%D8%A7%D8%B3%D8%B7%D8%A9-django-rest-framework-%D9%85%D8%B9-%D8%A7%D9%84%D8%A7%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1,https://khamsat.hsoubcdn.com/images/services/402953/eb53f4f94e8fe2023fe76c08544787ec_thumb.jpg
تعلم البرمجة,تعلم طريقة انشاء قاعدة بيانات Postgres و ربطها مع Django,https://khamsat.com/training/learn-programming/2620488-%D8%AA%D8%B9%D9%84%D9%85-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-%D9%82%D8%A7%D8%B9%D8%AF%D8%A9-%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-postgres-%D9%88-%D8%B1%D8%A8%D8%B7%D9%87%D8%A7-%D9%85%D8%B9-django,https://khamsat.hsoubcdn.com/images/services/402953/1af2c3290065e52481bc80af348259d7.jpg?s=small
تعلم البرمجة,شرح احترافي لتقنيات الويب HTML CSS JS للمبتدئين بطريق,https://khamsat.com/training/learn-programming/3509066-%D8%B4%D8%B1%D8%AD-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D8%AA%D9%82%D9%86%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D9%8A%D8%A8-html-css-js-%D9%84%D9%84%D9%85%D8%A8%D8%AA%D8%AF%D8%A6%D9%8A%D9%86-%D8%A8%D8%B7%D8%B1%D9%8A%D9%82,https://khamsat.hsoubcdn.com/images/services/4132014/b9372b30c75141521d380149491590b6.jpg?s=small
تعلم البرمجة,شرح لتخصص cyber seucrity وكيفية البدء بالتخصص,https://khamsat.com/training/learn-programming/2873964-%D8%B4%D8%B1%D8%AD-%D9%84%D8%AA%D8%AE%D8%B5%D8%B5-cyber-seucrity-%D9%88%D9%83%D9%8A%D9%81%D9%8A%D8%A9-%D8%A7%D9%84%D8%A8%D8%AF%D8%A1-%D8%A8%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5,https://khamsat.hsoubcdn.com/images/services/2372361/062116f7c5d8c460f31e5e8018acbeb0.jpg?s=small
تعلم البرمجة,"حل وشرح تمارين ومسائل ب R,c,c++,java,python,js,php,c sharp",https://khamsat.com/training/learn-programming/2819974-%D8%AD%D9%84-%D9%88%D8%B4%D8%B1%D8%AD-%D8%AA%D9%85%D8%A7%D8%B1%D9%8A%D9%86-%D9%88%D9%85%D8%B3%D8%A7%D8%A6%D9%84-%D8%A8-rccjavapythonjsphpc-sharp,https://khamsat.hsoubcdn.com/images/services/3141566/18df6c8436d4656096a5e0901c2e29dd_thumb.jpg
تعلم البرمجة,تعلم Excel من الصفر حتي البرمجة,https://khamsat.com/training/learn-programming/2535116-%D8%AA%D8%B9%D9%84%D9%85-excel-%D9%85%D9%86-%D8%A7%D9%84%D8%B5%D9%81%D8%B1-%D8%AD%D8%AA%D9%8A-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%AC%D8%A9,https://khamsat.hsoubcdn.com/images/services/940435/b902051b3c8f162a2fa27bf3e604947f.jpg?s=small
تعلم البرمجة,كتاب إحترف لغة الجافاسكريبت Javascript,https://khamsat.com/training/learn-programming/653575-%D9%83%D8%AA%D8%A7%D8%A8-%D8%A5%D8%AD%D8%AA%D8%B1%D9%81-%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%AC%D8%A7%D9%81%D8%A7%D8%B3%D9%83%D8%B1%D9%8A%D8%A8%D8%AA-javascript,https://khamsat.hsoubcdn.com/images/services/13022/ae0f543a7be26c2f4d9f4e5ad400a9ec.jpg?s=small
تعلم البرمجة,حل مسائل باستخدام لغة بايثون,https://khamsat.com/training/learn-programming/3045826-%D8%AD%D9%84-%D9%85%D8%B3%D8%A7%D8%A6%D9%84-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%84%D8%BA%D8%A9-%D8%A8%D8%A7%D9%8A%D8%AB%D9%88%D9%86,https://khamsat.hsoubcdn.com/images/services/1771588/2c50fb10f5a0ffd260ddd93740261e35_thumb.jpg
تعلم البرمجة,طلب استشارة في المشاريع التقنية,https://khamsat.com/training/learn-programming/2392016-%D8%B7%D9%84%D8%A8-%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D8%A7%D9%84%D8%AA%D9%82%D9%86%D9%8A%D8%A9,https://khamsat.hsoubcdn.com/images/services/1431090/539f3273b42137ce1be7c6437257c6b3_thumb.jpg
